DataSize	Numex	ExMem	ExCore	LevelPar	Predictions
1	16	8	6	8	110.9841
2	16	8	6	8	145.6895
3	16	8	6	8	133.2665
4	16	8	6	8	52.4248
5	16	8	6	8	97.2709
6	16	8	6	8	295.0371
7	16	8	6	8	504.5987
8	16	8	6	8	683.9833
9	16	8	6	8	796.2032
10	16	8	6	8	817.6821
11	16	8	6	8	742.3495
12	16	8	6	8	580.924
13	16	8	6	8	356.3901
14	16	8	6	8	97.5583
15	16	8	6	8	167.2775
16	16	8	6	8	415.0831
17	16	8	6	8	630.5389
18	16	8	6	8	806.3039
19	16	8	6	8	941.7046
20	16	8	6	8	1040.6464
21	16	8	6	8	1109.456
22	16	8	6	8	1155.1144
23	16	8	6	8	1184.0782
24	16	8	6	8	1201.671
25	16	8	6	8	1211.9163
26	16	8	6	8	1217.6427
27	16	8	6	8	1220.7174
28	16	8	6	8	1222.3045
29	16	8	6	8	1223.0926
30	16	8	6	8	1223.4693
31	16	8	6	8	1223.6427
32	16	8	6	8	1223.7196
33	16	8	6	8	1223.7524
34	16	8	6	8	1223.766
35	16	8	6	8	1223.7714
36	16	8	6	8	1223.7734
37	16	8	6	8	1223.7742
38	16	8	6	8	1223.7745
39	16	8	6	8	1223.7746
40	16	8	6	8	1223.7746
41	16	8	6	8	1223.7746
42	16	8	6	8	1223.7746
43	16	8	6	8	1223.7746
44	16	8	6	8	1223.7746
45	16	8	6	8	1223.7746
46	16	8	6	8	1223.7746
47	16	8	6	8	1223.7746
48	16	8	6	8	1223.7746
49	16	8	6	8	1223.7746
50	16	8	6	8	1223.7746
51	16	8	6	8	1223.7746
52	16	8	6	8	1223.7746
53	16	8	6	8	1223.7746
54	16	8	6	8	1223.7746
55	16	8	6	8	1223.7746
56	16	8	6	8	1223.7746
57	16	8	6	8	1223.7746
58	16	8	6	8	1223.7746
59	16	8	6	8	1223.7746
60	16	8	6	8	1223.7746
61	16	8	6	8	1223.7746
62	16	8	6	8	1223.7746
63	16	8	6	8	1223.7746
64	16	8	6	8	1223.7746
65	16	8	6	8	1223.7746
66	16	8	6	8	1223.7746
67	16	8	6	8	1223.7746
68	16	8	6	8	1223.7746
69	16	8	6	8	1223.7746
70	16	8	6	8	1223.7746
71	16	8	6	8	1223.7746
72	16	8	6	8	1223.7746
73	16	8	6	8	1223.7746
74	16	8	6	8	1223.7746
75	16	8	6	8	1223.7746
76	16	8	6	8	1223.7746
77	16	8	6	8	1223.7746
78	16	8	6	8	1223.7746
79	16	8	6	8	1223.7746
80	16	8	6	8	1223.7746
81	16	8	6	8	1223.7746
82	16	8	6	8	1223.7746
83	16	8	6	8	1223.7746
84	16	8	6	8	1223.7746
85	16	8	6	8	1223.7746
86	16	8	6	8	1223.7746
87	16	8	6	8	1223.7746
88	16	8	6	8	1223.7746
89	16	8	6	8	1223.7746
90	16	8	6	8	1223.7746
91	16	8	6	8	1223.7746
92	16	8	6	8	1223.7746
93	16	8	6	8	1223.7746
94	16	8	6	8	1223.7746
95	16	8	6	8	1223.7746
96	16	8	6	8	1223.7746
97	16	8	6	8	1223.7746
98	16	8	6	8	1223.7746
99	16	8	6	8	1223.7746
100	16	8	6	8	1223.7746
