DataSize	Numex	ExMem	ExCore	LevelPar	Predictions
1	16	8	6	8	85.5372
2	16	8	6	8	83.4031
3	16	8	6	8	82.8659
4	16	8	6	8	83.294
5	16	8	6	8	84.2135
6	16	8	6	8	85.3261
7	16	8	6	8	86.52
8	16	8	6	8	87.8748
9	16	8	6	8	89.6584
10	16	8	6	8	92.3172
11	16	8	6	8	96.4592
12	16	8	6	8	102.8324
13	16	8	6	8	112.2958
14	16	8	6	8	125.7887
15	16	8	6	8	144.2948
16	16	8	6	8	168.8066
17	16	8	6	8	200.2878
18	16	8	6	8	239.638
19	16	8	6	8	287.6591
20	16	8	6	8	345.0248
21	16	8	6	8	412.2552
22	16	8	6	8	489.696
23	16	8	6	8	577.5042
24	16	8	6	8	675.639
25	16	8	6	8	783.8599
26	16	8	6	8	901.7303
27	16	8	6	8	1028.6274
28	16	8	6	8	1163.7572
29	16	8	6	8	1306.1738
30	16	8	6	8	1454.8033
31	16	8	6	8	1608.4696
32	16	8	6	8	1765.9228
33	16	8	6	8	1925.8685
34	16	8	6	8	2086.9965
35	16	8	6	8	2248.0092
36	16	8	6	8	2407.648
37	16	8	6	8	2564.7174
38	16	8	6	8	2718.1061
39	16	8	6	8	2866.8044
40	16	8	6	8	3009.9185
41	16	8	6	8	3146.6806
42	16	8	6	8	3276.4552
43	16	8	6	8	3398.742
44	16	8	6	8	3513.1749
45	16	8	6	8	3619.5184
46	16	8	6	8	3717.6613
47	16	8	6	8	3807.6071
48	16	8	6	8	3889.464
49	16	8	6	8	3963.4327
50	16	8	6	8	4029.7936
51	16	8	6	8	4088.8932
52	16	8	6	8	4141.1314
53	16	8	6	8	4186.9477
54	16	8	6	8	4226.8097
55	16	8	6	8	4261.2009
56	16	8	6	8	4290.6108
57	16	8	6	8	4315.5257
58	16	8	6	8	4336.4203
59	16	8	6	8	4353.752
60	16	8	6	8	4367.9547
61	16	8	6	8	4379.4354
62	16	8	6	8	4388.5713
63	16	8	6	8	4395.7077
64	16	8	6	8	4401.1575
65	16	8	6	8	4405.2008
66	16	8	6	8	4408.0863
67	16	8	6	8	4410.0316
68	16	8	6	8	4411.2258
69	16	8	6	8	4411.8307
70	16	8	6	8	4411.9836
71	16	8	6	8	4411.7993
72	16	8	6	8	4411.3728
73	16	8	6	8	4410.781
74	16	8	6	8	4410.0859
75	16	8	6	8	4409.3359
76	16	8	6	8	4408.5682
77	16	8	6	8	4407.8106
78	16	8	6	8	4407.0831
79	16	8	6	8	4406.3993
80	16	8	6	8	4405.7678
81	16	8	6	8	4405.1932
82	16	8	6	8	4404.677
83	16	8	6	8	4404.2185
84	16	8	6	8	4403.8155
85	16	8	6	8	4403.4643
86	16	8	6	8	4403.1611
87	16	8	6	8	4402.9012
88	16	8	6	8	4402.6802
89	16	8	6	8	4402.4936
90	16	8	6	8	4402.337
91	16	8	6	8	4402.2064
92	16	8	6	8	4402.0982
93	16	8	6	8	4402.0091
94	16	8	6	8	4401.9362
95	16	8	6	8	4401.8767
96	16	8	6	8	4401.8286
97	16	8	6	8	4401.7898
98	16	8	6	8	4401.7586
99	16	8	6	8	4401.7338
100	16	8	6	8	4401.7141
