DataSize	Numex	ExMem	ExCore	LevelPar	Predictions
1	16	8	6	8	55.3565
2	16	8	6	8	54.4618
3	16	8	6	8	53.7168
4	16	8	6	8	53.1049
5	16	8	6	8	52.6104
6	16	8	6	8	52.2178
7	16	8	6	8	51.9127
8	16	8	6	8	51.6812
9	16	8	6	8	51.5101
10	16	8	6	8	51.3874
11	16	8	6	8	51.3015
12	16	8	6	8	51.2419
13	16	8	6	8	51.199
14	16	8	6	8	51.1642
15	16	8	6	8	51.1298
16	16	8	6	8	51.0891
17	16	8	6	8	51.0365
18	16	8	6	8	50.9673
19	16	8	6	8	50.878
20	16	8	6	8	50.766
21	16	8	6	8	50.6299
22	16	8	6	8	50.4694
23	16	8	6	8	50.285
24	16	8	6	8	50.0785
25	16	8	6	8	49.8528
26	16	8	6	8	49.6117
27	16	8	6	8	49.36
28	16	8	6	8	49.1036
29	16	8	6	8	48.8495
30	16	8	6	8	48.6055
31	16	8	6	8	48.3803
32	16	8	6	8	48.1837
33	16	8	6	8	48.0263
34	16	8	6	8	47.9194
35	16	8	6	8	47.8754
36	16	8	6	8	47.9072
37	16	8	6	8	48.0285
38	16	8	6	8	48.2538
39	16	8	6	8	48.598
40	16	8	6	8	49.0769
41	16	8	6	8	49.7064
42	16	8	6	8	50.5034
43	16	8	6	8	51.4847
44	16	8	6	8	52.6678
45	16	8	6	8	54.0705
46	16	8	6	8	55.7107
47	16	8	6	8	57.6065
48	16	8	6	8	59.7764
49	16	8	6	8	62.2387
50	16	8	6	8	65.0118
51	16	8	6	8	68.1141
52	16	8	6	8	71.564
53	16	8	6	8	75.3795
54	16	8	6	8	79.5786
55	16	8	6	8	84.179
56	16	8	6	8	89.198
57	16	8	6	8	94.6526
58	16	8	6	8	100.5593
59	16	8	6	8	106.9342
60	16	8	6	8	113.7929
61	16	8	6	8	121.1503
62	16	8	6	8	129.0207
63	16	8	6	8	137.4178
64	16	8	6	8	146.3546
65	16	8	6	8	155.8433
66	16	8	6	8	165.8954
67	16	8	6	8	176.5213
68	16	8	6	8	187.7308
69	16	8	6	8	199.5329
70	16	8	6	8	211.9354
71	16	8	6	8	224.9454
72	16	8	6	8	238.5689
73	16	8	6	8	252.8109
74	16	8	6	8	267.6755
75	16	8	6	8	283.1658
76	16	8	6	8	299.2838
77	16	8	6	8	316.0304
78	16	8	6	8	333.4058
79	16	8	6	8	351.4088
80	16	8	6	8	370.0372
81	16	8	6	8	389.288
82	16	8	6	8	409.1571
83	16	8	6	8	429.6391
84	16	8	6	8	450.7279
85	16	8	6	8	472.4164
86	16	8	6	8	494.6963
87	16	8	6	8	517.5586
88	16	8	6	8	540.9931
89	16	8	6	8	564.989
90	16	8	6	8	589.5343
91	16	8	6	8	614.6163
92	16	8	6	8	640.2215
93	16	8	6	8	666.3355
94	16	8	6	8	692.9432
95	16	8	6	8	720.0286
96	16	8	6	8	747.5753
97	16	8	6	8	775.566
98	16	8	6	8	803.9828
99	16	8	6	8	832.8073
100	16	8	6	8	862.0205
