DataSize	Numex	ExMem	ExCore	LevelPar	Predictions
1	16	8	6	8	74.6416
2	16	8	6	8	92.5641
3	16	8	6	8	124.6938
4	16	8	6	8	170.002
5	16	8	6	8	227.1167
6	16	8	6	8	294.3721
7	16	8	6	8	369.8705
8	16	8	6	8	451.5524
9	16	8	6	8	537.2712
10	16	8	6	8	624.8712
11	16	8	6	8	712.2618
12	16	8	6	8	797.4888
13	16	8	6	8	878.7957
14	16	8	6	8	954.6756
15	16	8	6	8	1023.9097
16	16	8	6	8	1085.5928
17	16	8	6	8	1139.144
18	16	8	6	8	1184.3037
19	16	8	6	8	1221.1175
20	16	8	6	8	1249.9089
21	16	8	6	8	1271.2426
22	16	8	6	8	1285.8804
23	16	8	6	8	1294.733
24	16	8	6	8	1298.8101
25	16	8	6	8	1299.1703
26	16	8	6	8	1296.8747
27	16	8	6	8	1292.9446
28	16	8	6	8	1288.3255
29	16	8	6	8	1283.8584
30	16	8	6	8	1280.2583
31	16	8	6	8	1278.1015
32	16	8	6	8	1277.8195
33	16	8	6	8	1279.7004
34	16	8	6	8	1283.8958
35	16	8	6	8	1290.4331
36	16	8	6	8	1299.2312
37	16	8	6	8	1310.1188
38	16	8	6	8	1322.8539
39	16	8	6	8	1337.1438
40	16	8	6	8	1352.664
41	16	8	6	8	1369.0756
42	16	8	6	8	1386.0413
43	16	8	6	8	1403.2382
44	16	8	6	8	1420.368
45	16	8	6	8	1437.1654
46	16	8	6	8	1453.4024
47	16	8	6	8	1468.8918
48	16	8	6	8	1483.4872
49	16	8	6	8	1497.0824
50	16	8	6	8	1509.6087
51	16	8	6	8	1521.0312
52	16	8	6	8	1531.3446
53	16	8	6	8	1540.5686
54	16	8	6	8	1548.7435
55	16	8	6	8	1555.9248
56	16	8	6	8	1562.1798
57	16	8	6	8	1567.5828
58	16	8	6	8	1572.2124
59	16	8	6	8	1576.1481
60	16	8	6	8	1579.4683
61	16	8	6	8	1582.2481
62	16	8	6	8	1584.5584
63	16	8	6	8	1586.4645
64	16	8	6	8	1588.026
65	16	8	6	8	1589.2962
66	16	8	6	8	1590.3223
67	16	8	6	8	1591.1456
68	16	8	6	8	1591.8018
69	16	8	6	8	1592.3212
70	16	8	6	8	1592.7297
71	16	8	6	8	1593.0489
72	16	8	6	8	1593.2967
73	16	8	6	8	1593.4878
74	16	8	6	8	1593.6343
75	16	8	6	8	1593.7459
76	16	8	6	8	1593.8303
77	16	8	6	8	1593.8939
78	16	8	6	8	1593.9414
79	16	8	6	8	1593.9767
80	16	8	6	8	1594.0028
81	16	8	6	8	1594.0219
82	16	8	6	8	1594.0359
83	16	8	6	8	1594.046
84	16	8	6	8	1594.0533
85	16	8	6	8	1594.0586
86	16	8	6	8	1594.0623
87	16	8	6	8	1594.065
88	16	8	6	8	1594.0668
89	16	8	6	8	1594.0681
90	16	8	6	8	1594.0691
91	16	8	6	8	1594.0697
92	16	8	6	8	1594.0701
93	16	8	6	8	1594.0704
94	16	8	6	8	1594.0706
95	16	8	6	8	1594.0708
96	16	8	6	8	1594.0709
97	16	8	6	8	1594.0709
98	16	8	6	8	1594.071
99	16	8	6	8	1594.071
100	16	8	6	8	1594.071
