DataSize	Numex	ExMem	ExCore	LevelPar	Predictions
1	16	8	6	8	112.4856
2	16	8	6	8	147.3483
3	16	8	6	8	175.6433
4	16	8	6	8	199.1459
5	16	8	6	8	220.0903
6	16	8	6	8	240.9117
7	16	8	6	8	263.9884
8	16	8	6	8	291.4125
9	16	8	6	8	324.8081
10	16	8	6	8	365.212
11	16	8	6	8	413.0219
12	16	8	6	8	468.0095
13	16	8	6	8	529.3904
14	16	8	6	8	595.9357
15	16	8	6	8	666.1101
16	16	8	6	8	738.218
17	16	8	6	8	810.5438
18	16	8	6	8	881.473
19	16	8	6	8	949.5875
20	16	8	6	8	1013.7289
21	16	8	6	8	1073.0319
22	16	8	6	8	1126.929
23	16	8	6	8	1175.1332
24	16	8	6	8	1217.6033
25	16	8	6	8	1254.5002
26	16	8	6	8	1286.138
27	16	8	6	8	1312.937
28	16	8	6	8	1335.3803
29	16	8	6	8	1353.9774
30	16	8	6	8	1369.2355
31	16	8	6	8	1381.6383
32	16	8	6	8	1391.6324
33	16	8	6	8	1399.6187
34	16	8	6	8	1405.9498
35	16	8	6	8	1410.9296
36	16	8	6	8	1414.8167
37	16	8	6	8	1417.8274
38	16	8	6	8	1420.1412
39	16	8	6	8	1421.9052
40	16	8	6	8	1423.239
41	16	8	6	8	1424.239
42	16	8	6	8	1424.9821
43	16	8	6	8	1425.5291
44	16	8	6	8	1425.9281
45	16	8	6	8	1426.2162
46	16	8	6	8	1426.4221
47	16	8	6	8	1426.5677
48	16	8	6	8	1426.6696
49	16	8	6	8	1426.7401
50	16	8	6	8	1426.7883
51	16	8	6	8	1426.821
52	16	8	6	8	1426.8428
53	16	8	6	8	1426.8572
54	16	8	6	8	1426.8667
55	16	8	6	8	1426.8728
56	16	8	6	8	1426.8766
57	16	8	6	8	1426.8791
58	16	8	6	8	1426.8806
59	16	8	6	8	1426.8816
60	16	8	6	8	1426.8821
61	16	8	6	8	1426.8825
62	16	8	6	8	1426.8827
63	16	8	6	8	1426.8828
64	16	8	6	8	1426.8829
65	16	8	6	8	1426.8829
66	16	8	6	8	1426.8829
67	16	8	6	8	1426.8829
68	16	8	6	8	1426.8829
69	16	8	6	8	1426.8829
70	16	8	6	8	1426.8829
71	16	8	6	8	1426.8829
72	16	8	6	8	1426.8829
73	16	8	6	8	1426.8829
74	16	8	6	8	1426.8829
75	16	8	6	8	1426.8829
76	16	8	6	8	1426.8829
77	16	8	6	8	1426.8829
78	16	8	6	8	1426.8829
79	16	8	6	8	1426.8829
80	16	8	6	8	1426.8829
81	16	8	6	8	1426.8829
82	16	8	6	8	1426.8829
83	16	8	6	8	1426.8829
84	16	8	6	8	1426.8829
85	16	8	6	8	1426.8829
86	16	8	6	8	1426.8829
87	16	8	6	8	1426.8829
88	16	8	6	8	1426.8829
89	16	8	6	8	1426.8829
90	16	8	6	8	1426.8829
91	16	8	6	8	1426.8829
92	16	8	6	8	1426.8829
93	16	8	6	8	1426.8829
94	16	8	6	8	1426.8829
95	16	8	6	8	1426.8829
96	16	8	6	8	1426.8829
97	16	8	6	8	1426.8829
98	16	8	6	8	1426.8829
99	16	8	6	8	1426.8829
100	16	8	6	8	1426.8829
