DataSize	Numex	ExMem	ExCore	LevelPar	Predictions
1	16	8	6	8	86.2604
2	16	8	6	8	86.6906
3	16	8	6	8	84.9178
4	16	8	6	8	81.9027
5	16	8	6	8	78.6749
6	16	8	6	8	76.3007
7	16	8	6	8	75.8483
8	16	8	6	8	78.3539
9	16	8	6	8	84.7888
10	16	8	6	8	96.0284
11	16	8	6	8	112.8254
12	16	8	6	8	135.7862
13	16	8	6	8	165.3525
14	16	8	6	8	201.789
15	16	8	6	8	245.1754
16	16	8	6	8	295.4059
17	16	8	6	8	352.1927
18	16	8	6	8	415.0766
19	16	8	6	8	483.4411
20	16	8	6	8	556.532
21	16	8	6	8	633.4793
22	16	8	6	8	713.3231
23	16	8	6	8	795.0401
24	16	8	6	8	877.5717
25	16	8	6	8	959.8518
26	16	8	6	8	1040.8331
27	16	8	6	8	1119.5129
28	16	8	6	8	1194.9549
29	16	8	6	8	1266.3094
30	16	8	6	8	1332.8293
31	16	8	6	8	1393.8823
32	16	8	6	8	1448.9601
33	16	8	6	8	1497.6829
34	16	8	6	8	1539.8005
35	16	8	6	8	1575.19
36	16	8	6	8	1603.85
37	16	8	6	8	1625.8927
38	16	8	6	8	1641.5335
39	16	8	6	8	1651.0778
40	16	8	6	8	1654.9087
41	16	8	6	8	1653.4715
42	16	8	6	8	1647.2598
43	16	8	6	8	1636.8009
44	16	8	6	8	1622.6418
45	16	8	6	8	1605.3363
46	16	8	6	8	1585.4332
47	16	8	6	8	1563.4657
48	16	8	6	8	1539.9425
49	16	8	6	8	1515.3404
50	16	8	6	8	1490.0986
51	16	8	6	8	1464.6144
52	16	8	6	8	1439.2403
53	16	8	6	8	1414.2829
54	16	8	6	8	1390.0029
55	16	8	6	8	1366.6155
56	16	8	6	8	1344.2928
57	16	8	6	8	1323.1663
58	16	8	6	8	1303.3298
59	16	8	6	8	1284.8432
60	16	8	6	8	1267.7365
61	16	8	6	8	1252.0131
62	16	8	6	8	1237.6545
63	16	8	6	8	1224.6234
64	16	8	6	8	1212.8679
65	16	8	6	8	1202.3246
66	16	8	6	8	1192.9215
67	16	8	6	8	1184.5814
68	16	8	6	8	1177.2234
69	16	8	6	8	1170.7657
70	16	8	6	8	1165.1271
71	16	8	6	8	1160.2282
72	16	8	6	8	1155.993
73	16	8	6	8	1152.3491
74	16	8	6	8	1149.2288
75	16	8	6	8	1146.5695
76	16	8	6	8	1144.3134
77	16	8	6	8	1142.4081
78	16	8	6	8	1140.8063
79	16	8	6	8	1139.4656
80	16	8	6	8	1138.3484
81	16	8	6	8	1137.4214
82	16	8	6	8	1136.6556
83	16	8	6	8	1136.0256
84	16	8	6	8	1135.5096
85	16	8	6	8	1135.0886
86	16	8	6	8	1134.7467
87	16	8	6	8	1134.4701
88	16	8	6	8	1134.2472
89	16	8	6	8	1134.0684
90	16	8	6	8	1133.9255
91	16	8	6	8	1133.8117
92	16	8	6	8	1133.7215
93	16	8	6	8	1133.6503
94	16	8	6	8	1133.5943
95	16	8	6	8	1133.5504
96	16	8	6	8	1133.5162
97	16	8	6	8	1133.4895
98	16	8	6	8	1133.4689
99	16	8	6	8	1133.453
100	16	8	6	8	1133.4408
