DataSize	Numex	ExMem	ExCore	LevelPar	Predictions
20	16	1	6	8	1093.9782
20	16	2	6	8	1081.4894
20	16	3	6	8	1070.2862
20	16	4	6	8	1060.6268
20	16	5	6	8	1052.7171
20	16	6	6	8	1046.704
20	16	7	6	8	1042.6727
20	16	8	6	8	1040.6464
20	16	9	6	8	1040.5903
20	16	10	6	8	1042.4166
20	16	11	6	8	1045.9928
20	16	12	6	8	1051.15
20	16	13	6	8	1057.6925
20	16	14	6	8	1065.407
20	16	15	6	8	1074.071
20	16	16	6	8	1083.461
20	16	17	6	8	1093.3592
20	16	18	6	8	1103.5583
20	16	19	6	8	1113.8666
20	16	20	6	8	1124.1107
20	16	21	6	8	1134.1378
20	16	22	6	8	1143.8171
20	16	23	6	8	1153.0402
20	16	24	6	8	1161.7211
20	16	25	6	8	1169.7957
20	16	26	6	8	1177.2208
20	16	27	6	8	1183.9722
20	16	28	6	8	1190.0434
20	16	29	6	8	1195.4432
20	16	30	6	8	1200.1936
20	16	31	6	8	1204.3272
20	16	32	6	8	1207.8851
20	16	33	6	8	1210.914
20	16	34	6	8	1213.4644
20	16	35	6	8	1215.5884
20	16	36	6	8	1217.3379
20	16	37	6	8	1218.763
20	16	38	6	8	1219.9111
20	16	39	6	8	1220.8257
20	16	40	6	8	1221.5464
20	16	41	6	8	1222.1078
20	16	42	6	8	1222.5404
20	16	43	6	8	1222.87
20	16	44	6	8	1223.1183
20	16	45	6	8	1223.3034
20	16	46	6	8	1223.4397
20	16	47	6	8	1223.539
20	16	48	6	8	1223.6106
20	16	49	6	8	1223.6616
20	16	50	6	8	1223.6976
20	16	51	6	8	1223.7226
20	16	52	6	8	1223.7399
20	16	53	6	8	1223.7517
20	16	54	6	8	1223.7596
20	16	55	6	8	1223.7649
20	16	56	6	8	1223.7684
20	16	57	6	8	1223.7707
20	16	58	6	8	1223.7721
20	16	59	6	8	1223.7731
20	16	60	6	8	1223.7737
20	16	61	6	8	1223.774
20	16	62	6	8	1223.7743
20	16	63	6	8	1223.7744
20	16	64	6	8	1223.7745
20	16	65	6	8	1223.7745
20	16	66	6	8	1223.7746
20	16	67	6	8	1223.7746
20	16	68	6	8	1223.7746
20	16	69	6	8	1223.7746
20	16	70	6	8	1223.7746
20	16	71	6	8	1223.7746
20	16	72	6	8	1223.7746
20	16	73	6	8	1223.7746
20	16	74	6	8	1223.7746
20	16	75	6	8	1223.7746
20	16	76	6	8	1223.7746
20	16	77	6	8	1223.7746
20	16	78	6	8	1223.7746
20	16	79	6	8	1223.7746
20	16	80	6	8	1223.7746
20	16	81	6	8	1223.7746
20	16	82	6	8	1223.7746
20	16	83	6	8	1223.7746
20	16	84	6	8	1223.7746
20	16	85	6	8	1223.7746
20	16	86	6	8	1223.7746
20	16	87	6	8	1223.7746
20	16	88	6	8	1223.7746
20	16	89	6	8	1223.7746
20	16	90	6	8	1223.7746
20	16	91	6	8	1223.7746
20	16	92	6	8	1223.7746
20	16	93	6	8	1223.7746
20	16	94	6	8	1223.7746
20	16	95	6	8	1223.7746
20	16	96	6	8	1223.7746
20	16	97	6	8	1223.7746
20	16	98	6	8	1223.7746
20	16	99	6	8	1223.7746
20	16	100	6	8	1223.7746
