DataSize	Numex	ExMem	ExCore	LevelPar	Predictions
20	16	1	6	8	672.5124
20	16	2	6	8	584.2067
20	16	3	6	8	512.154
20	16	4	6	8	454.7313
20	16	5	6	8	410.3592
20	16	6	6	8	377.7369
20	16	7	6	8	356.0348
20	16	8	6	8	345.0248
20	16	9	6	8	345.1318
20	16	10	6	8	357.4004
20	16	11	6	8	383.3809
20	16	12	6	8	424.9473
20	16	13	6	8	484.0676
20	16	14	6	8	562.5514
20	16	15	6	8	661.8041
20	16	16	6	8	782.6108
20	16	17	6	8	924.9756
20	16	18	6	8	1088.0279
20	16	19	6	8	1270.0065
20	16	20	6	8	1468.3182
20	16	21	6	8	1679.6639
20	16	22	6	8	1900.2168
20	16	23	6	8	2125.8352
20	16	24	6	8	2352.288
20	16	25	6	8	2575.4745
20	16	26	6	8	2791.6201
20	16	27	6	8	2997.4364
20	16	28	6	8	3190.2344
20	16	29	6	8	3367.9904
20	16	30	6	8	3529.3638
20	16	31	6	8	3673.673
20	16	32	6	8	3800.8361
20	16	33	6	8	3911.2873
20	16	34	6	8	4005.8772
20	16	35	6	8	4085.7682
20	16	36	6	8	4152.331
20	16	37	6	8	4207.0501
20	16	38	6	8	4251.4422
20	16	39	6	8	4286.9898
20	16	40	6	8	4315.0911
20	16	41	6	8	4337.0252
20	16	42	6	8	4353.9315
20	16	43	6	8	4366.8014
20	16	44	6	8	4376.4786
20	16	45	6	8	4383.6668
20	16	46	6	8	4388.9419
20	16	47	6	8	4392.7669
20	16	48	6	8	4395.5075
20	16	49	6	8	4397.448
20	16	50	6	8	4398.806
20	16	51	6	8	4399.7453
20	16	52	6	8	4400.3875
20	16	53	6	8	4400.8216
20	16	54	6	8	4401.1115
20	16	55	6	8	4401.3031
20	16	56	6	8	4401.4282
20	16	57	6	8	4401.5089
20	16	58	6	8	4401.5605
20	16	59	6	8	4401.5931
20	16	60	6	8	4401.6134
20	16	61	6	8	4401.6259
20	16	62	6	8	4401.6336
20	16	63	6	8	4401.6382
20	16	64	6	8	4401.641
20	16	65	6	8	4401.6426
20	16	66	6	8	4401.6436
20	16	67	6	8	4401.6441
20	16	68	6	8	4401.6445
20	16	69	6	8	4401.6446
20	16	70	6	8	4401.6447
20	16	71	6	8	4401.6448
20	16	72	6	8	4401.6448
20	16	73	6	8	4401.6448
20	16	74	6	8	4401.6448
20	16	75	6	8	4401.6448
20	16	76	6	8	4401.6448
20	16	77	6	8	4401.6448
20	16	78	6	8	4401.6448
20	16	79	6	8	4401.6448
20	16	80	6	8	4401.6448
20	16	81	6	8	4401.6448
20	16	82	6	8	4401.6448
20	16	83	6	8	4401.6448
20	16	84	6	8	4401.6448
20	16	85	6	8	4401.6448
20	16	86	6	8	4401.6448
20	16	87	6	8	4401.6448
20	16	88	6	8	4401.6448
20	16	89	6	8	4401.6448
20	16	90	6	8	4401.6448
20	16	91	6	8	4401.6448
20	16	92	6	8	4401.6448
20	16	93	6	8	4401.6448
20	16	94	6	8	4401.6448
20	16	95	6	8	4401.6448
20	16	96	6	8	4401.6448
20	16	97	6	8	4401.6448
20	16	98	6	8	4401.6448
20	16	99	6	8	4401.6448
20	16	100	6	8	4401.6448
