DataSize	Numex	ExMem	ExCore	LevelPar	Predictions
20	16	1	6	8	48.9753
20	16	2	6	8	49.5867
20	16	3	6	8	51.6048
20	16	4	6	8	53.1891
20	16	5	6	8	53.389
20	16	6	6	8	52.2341
20	16	7	6	8	50.7311
20	16	8	6	8	50.766
20	16	9	6	8	54.9235
20	16	10	6	8	66.2394
20	16	11	6	8	87.9134
20	16	12	6	8	123.0083
20	16	13	6	8	174.1651
20	16	14	6	8	243.3602
20	16	15	6	8	331.724
20	16	16	6	8	439.4354
20	16	17	6	8	565.6971
20	16	18	6	8	708.7888
20	16	19	6	8	866.189
20	16	20	6	8	1034.7495
20	16	21	6	8	1210.9043
20	16	22	6	8	1390.8919
20	16	23	6	8	1570.9732
20	16	24	6	8	1747.6271
20	16	25	6	8	1917.7126
20	16	26	6	8	2078.5878
20	16	27	6	8	2228.1838
20	16	28	6	8	2365.0337
20	16	29	6	8	2488.2617
20	16	30	6	8	2597.539
20	16	31	6	8	2693.0152
20	16	32	6	8	2775.234
20	16	33	6	8	2845.0422
20	16	34	6	8	2903.4985
20	16	35	6	8	2951.7895
20	16	36	6	8	2991.155
20	16	37	6	8	3022.827
20	16	38	6	8	3047.9825
20	16	39	6	8	3067.7098
20	16	40	6	8	3082.9871
20	16	41	6	8	3094.6725
20	16	42	6	8	3103.5015
20	16	43	6	8	3110.0919
20	16	44	6	8	3114.9524
20	16	45	6	8	3118.4947
20	16	46	6	8	3121.0461
20	16	47	6	8	3122.8622
20	16	48	6	8	3124.14
20	16	49	6	8	3125.0288
20	16	50	6	8	3125.6399
20	16	51	6	8	3126.0553
20	16	52	6	8	3126.3346
20	16	53	6	8	3126.5201
20	16	54	6	8	3126.6421
20	16	55	6	8	3126.7213
20	16	56	6	8	3126.7722
20	16	57	6	8	3126.8046
20	16	58	6	8	3126.8249
20	16	59	6	8	3126.8376
20	16	60	6	8	3126.8454
20	16	61	6	8	3126.8501
20	16	62	6	8	3126.853
20	16	63	6	8	3126.8546
20	16	64	6	8	3126.8556
20	16	65	6	8	3126.8562
20	16	66	6	8	3126.8566
20	16	67	6	8	3126.8568
20	16	68	6	8	3126.8569
20	16	69	6	8	3126.8569
20	16	70	6	8	3126.857
20	16	71	6	8	3126.857
20	16	72	6	8	3126.857
20	16	73	6	8	3126.857
20	16	74	6	8	3126.857
20	16	75	6	8	3126.857
20	16	76	6	8	3126.857
20	16	77	6	8	3126.857
20	16	78	6	8	3126.857
20	16	79	6	8	3126.857
20	16	80	6	8	3126.857
20	16	81	6	8	3126.857
20	16	82	6	8	3126.857
20	16	83	6	8	3126.857
20	16	84	6	8	3126.857
20	16	85	6	8	3126.857
20	16	86	6	8	3126.857
20	16	87	6	8	3126.857
20	16	88	6	8	3126.857
20	16	89	6	8	3126.857
20	16	90	6	8	3126.857
20	16	91	6	8	3126.857
20	16	92	6	8	3126.857
20	16	93	6	8	3126.857
20	16	94	6	8	3126.857
20	16	95	6	8	3126.857
20	16	96	6	8	3126.857
20	16	97	6	8	3126.857
20	16	98	6	8	3126.857
20	16	99	6	8	3126.857
20	16	100	6	8	3126.857
