DataSize	Numex	ExMem	ExCore	LevelPar	Predictions
20	16	1	6	8	1222.2052
20	16	2	6	8	1171.5427
20	16	3	6	8	1138.3345
20	16	4	6	8	1123.8408
20	16	5	6	8	1128.5168
20	16	6	6	8	1151.9911
20	16	7	6	8	1193.0902
20	16	8	6	8	1249.9089
20	16	9	6	8	1319.9219
20	16	10	6	8	1400.1263
20	16	11	6	8	1487.2075
20	16	12	6	8	1577.7154
20	16	13	6	8	1668.2395
20	16	14	6	8	1755.5724
20	16	15	6	8	1836.8515
20	16	16	6	8	1909.672
20	16	17	6	8	1972.1658
20	16	18	6	8	2023.0438
20	16	19	6	8	2061.6037
20	16	20	6	8	2087.7044
20	16	21	6	8	2101.7126
20	16	22	6	8	2104.4284
20	16	23	6	8	2096.9965
20	16	24	6	8	2080.8097
20	16	25	6	8	2057.4122
20	16	26	6	8	2028.4087
20	16	27	6	8	1995.3826
20	16	28	6	8	1959.8286
20	16	29	6	8	1923.1003
20	16	30	6	8	1886.3736
20	16	31	6	8	1850.6253
20	16	32	6	8	1816.6264
20	16	33	6	8	1784.9464
20	16	34	6	8	1755.9674
20	16	35	6	8	1729.9043
20	16	36	6	8	1706.8299
20	16	37	6	8	1686.7015
20	16	38	6	8	1669.3873
20	16	39	6	8	1654.6919
20	16	40	6	8	1642.3782
20	16	41	6	8	1632.1874
20	16	42	6	8	1623.854
20	16	43	6	8	1617.1187
20	16	44	6	8	1611.7365
20	16	45	6	8	1607.4833
20	16	46	6	8	1604.1586
20	16	47	6	8	1601.5875
20	16	48	6	8	1599.6199
20	16	49	6	8	1598.1298
20	16	50	6	8	1597.0127
20	16	51	6	8	1596.1837
20	16	52	6	8	1595.5746
20	16	53	6	8	1595.1315
20	16	54	6	8	1594.8123
20	16	55	6	8	1594.5846
20	16	56	6	8	1594.4236
20	16	57	6	8	1594.311
20	16	58	6	8	1594.2329
20	16	59	6	8	1594.1792
20	16	60	6	8	1594.1428
20	16	61	6	8	1594.1181
20	16	62	6	8	1594.1017
20	16	63	6	8	1594.0908
20	16	64	6	8	1594.0837
20	16	65	6	8	1594.0791
20	16	66	6	8	1594.0761
20	16	67	6	8	1594.0742
20	16	68	6	8	1594.073
20	16	69	6	8	1594.0722
20	16	70	6	8	1594.0718
20	16	71	6	8	1594.0715
20	16	72	6	8	1594.0713
20	16	73	6	8	1594.0712
20	16	74	6	8	1594.0711
20	16	75	6	8	1594.0711
20	16	76	6	8	1594.0711
20	16	77	6	8	1594.071
20	16	78	6	8	1594.071
20	16	79	6	8	1594.071
20	16	80	6	8	1594.071
20	16	81	6	8	1594.071
20	16	82	6	8	1594.071
20	16	83	6	8	1594.071
20	16	84	6	8	1594.071
20	16	85	6	8	1594.071
20	16	86	6	8	1594.071
20	16	87	6	8	1594.071
20	16	88	6	8	1594.071
20	16	89	6	8	1594.071
20	16	90	6	8	1594.071
20	16	91	6	8	1594.071
20	16	92	6	8	1594.071
20	16	93	6	8	1594.071
20	16	94	6	8	1594.071
20	16	95	6	8	1594.071
20	16	96	6	8	1594.071
20	16	97	6	8	1594.071
20	16	98	6	8	1594.071
20	16	99	6	8	1594.071
20	16	100	6	8	1594.071
