DataSize	Numex	ExMem	ExCore	LevelPar	Predictions
20	16	1	6	8	967.5069
20	16	2	6	8	935.6064
20	16	3	6	8	923.9505
20	16	4	6	8	929.0114
20	16	5	6	8	946.0652
20	16	6	6	8	969.6358
20	16	7	6	8	994.0035
20	16	8	6	8	1013.7289
20	16	9	6	8	1024.1381
20	16	10	6	8	1021.7232
20	16	11	6	8	1004.4204
20	16	12	6	8	971.7423
20	16	13	6	8	924.7586
20	16	14	6	8	865.9331
20	16	15	6	8	798.843
20	16	16	6	8	727.8127
20	16	17	6	8	657.5061
20	16	18	6	8	592.5168
20	16	19	6	8	536.9969
20	16	20	6	8	494.3553
20	16	21	6	8	467.0462
20	16	22	6	8	456.4586
20	16	23	6	8	462.9043
20	16	24	6	8	485.6959
20	16	25	6	8	523.2938
20	16	26	6	8	573.5029
20	16	27	6	8	633.6928
20	16	28	6	8	701.0203
20	16	29	6	8	772.6355
20	16	30	6	8	845.8556
20	16	31	6	8	918.2991
20	16	32	6	8	987.9753
20	16	33	6	8	1053.3316
20	16	34	6	8	1113.2612
20	16	35	6	8	1167.0805
20	16	36	6	8	1214.4823
20	16	37	6	8	1255.4753
20	16	38	6	8	1290.3159
20	16	39	6	8	1319.4406
20	16	40	6	8	1343.4021
20	16	41	6	8	1362.815
20	16	42	6	8	1378.3098
20	16	43	6	8	1390.4995
20	16	44	6	8	1399.9543
20	16	45	6	8	1407.1871
20	16	46	6	8	1412.6458
20	16	47	6	8	1416.7111
20	16	48	6	8	1419.6993
20	16	49	6	8	1421.8677
20	16	50	6	8	1423.4214
20	16	51	6	8	1424.5208
20	16	52	6	8	1425.2891
20	16	53	6	8	1425.8196
20	16	54	6	8	1426.1814
20	16	55	6	8	1426.4252
20	16	56	6	8	1426.5876
20	16	57	6	8	1426.6945
20	16	58	6	8	1426.764
20	16	59	6	8	1426.8087
20	16	60	6	8	1426.8371
20	16	61	6	8	1426.8549
20	16	62	6	8	1426.866
20	16	63	6	8	1426.8728
20	16	64	6	8	1426.877
20	16	65	6	8	1426.8794
20	16	66	6	8	1426.8809
20	16	67	6	8	1426.8818
20	16	68	6	8	1426.8823
20	16	69	6	8	1426.8826
20	16	70	6	8	1426.8827
20	16	71	6	8	1426.8828
20	16	72	6	8	1426.8829
20	16	73	6	8	1426.8829
20	16	74	6	8	1426.8829
20	16	75	6	8	1426.8829
20	16	76	6	8	1426.8829
20	16	77	6	8	1426.8829
20	16	78	6	8	1426.8829
20	16	79	6	8	1426.8829
20	16	80	6	8	1426.8829
20	16	81	6	8	1426.8829
20	16	82	6	8	1426.8829
20	16	83	6	8	1426.8829
20	16	84	6	8	1426.8829
20	16	85	6	8	1426.8829
20	16	86	6	8	1426.8829
20	16	87	6	8	1426.8829
20	16	88	6	8	1426.8829
20	16	89	6	8	1426.8829
20	16	90	6	8	1426.8829
20	16	91	6	8	1426.8829
20	16	92	6	8	1426.8829
20	16	93	6	8	1426.8829
20	16	94	6	8	1426.8829
20	16	95	6	8	1426.8829
20	16	96	6	8	1426.8829
20	16	97	6	8	1426.8829
20	16	98	6	8	1426.8829
20	16	99	6	8	1426.8829
20	16	100	6	8	1426.8829
