DataSize	Numex	ExMem	ExCore	LevelPar	Predictions
20	16	1	6	8	733.5179
20	16	2	6	8	655.6599
20	16	3	6	8	597.8659
20	16	4	6	8	559.7021
20	16	5	6	8	539.5021
20	16	6	6	8	534.5798
20	16	7	6	8	541.5222
20	16	8	6	8	556.532
20	16	9	6	8	575.7829
20	16	10	6	8	595.754
20	16	11	6	8	613.5103
20	16	12	6	8	626.9051
20	16	13	6	8	634.6916
20	16	14	6	8	636.5374
20	16	15	6	8	632.9509
20	16	16	6	8	625.1334
20	16	17	6	8	614.7812
20	16	18	6	8	603.8597
20	16	19	6	8	594.3783
20	16	20	6	8	588.1864
20	16	21	6	8	586.8082
20	16	22	6	8	591.3298
20	16	23	6	8	602.3397
20	16	24	6	8	619.924
20	16	25	6	8	643.7072
20	16	26	6	8	672.9292
20	16	27	6	8	706.5446
20	16	28	6	8	743.3325
20	16	29	6	8	782.0043
20	16	30	6	8	821.3008
20	16	31	6	8	860.0707
20	16	32	6	8	897.3281
20	16	33	6	8	932.2874
20	16	34	6	8	964.3774
20	16	35	6	8	993.2364
20	16	36	6	8	1018.6949
20	16	37	6	8	1040.7475
20	16	38	6	8	1059.5202
20	16	39	6	8	1075.2363
20	16	40	6	8	1088.1835
20	16	41	6	8	1098.6852
20	16	42	6	8	1107.0754
20	16	43	6	8	1113.681
20	16	44	6	8	1118.8074
20	16	45	6	8	1122.7305
20	16	46	6	8	1125.6917
20	16	47	6	8	1127.8969
20	16	48	6	8	1129.5174
20	16	49	6	8	1130.6928
20	16	50	6	8	1131.5344
20	16	51	6	8	1132.1294
20	16	52	6	8	1132.5448
20	16	53	6	8	1132.8313
20	16	54	6	8	1133.0264
20	16	55	6	8	1133.1576
20	16	56	6	8	1133.2449
20	16	57	6	8	1133.3022
20	16	58	6	8	1133.3394
20	16	59	6	8	1133.3633
20	16	60	6	8	1133.3785
20	16	61	6	8	1133.3879
20	16	62	6	8	1133.3938
20	16	63	6	8	1133.3974
20	16	64	6	8	1133.3996
20	16	65	6	8	1133.4009
20	16	66	6	8	1133.4017
20	16	67	6	8	1133.4021
20	16	68	6	8	1133.4024
20	16	69	6	8	1133.4025
20	16	70	6	8	1133.4026
20	16	71	6	8	1133.4027
20	16	72	6	8	1133.4027
20	16	73	6	8	1133.4027
20	16	74	6	8	1133.4027
20	16	75	6	8	1133.4027
20	16	76	6	8	1133.4027
20	16	77	6	8	1133.4027
20	16	78	6	8	1133.4027
20	16	79	6	8	1133.4027
20	16	80	6	8	1133.4027
20	16	81	6	8	1133.4027
20	16	82	6	8	1133.4027
20	16	83	6	8	1133.4027
20	16	84	6	8	1133.4027
20	16	85	6	8	1133.4027
20	16	86	6	8	1133.4027
20	16	87	6	8	1133.4027
20	16	88	6	8	1133.4027
20	16	89	6	8	1133.4027
20	16	90	6	8	1133.4027
20	16	91	6	8	1133.4027
20	16	92	6	8	1133.4027
20	16	93	6	8	1133.4027
20	16	94	6	8	1133.4027
20	16	95	6	8	1133.4027
20	16	96	6	8	1133.4027
20	16	97	6	8	1133.4027
20	16	98	6	8	1133.4027
20	16	99	6	8	1133.4027
20	16	100	6	8	1133.4027
