DataSize	Numex	ExMem	ExCore	LevelPar	Predictions
20	1	8	6	8	1099.0812
20	2	8	6	8	1094.3732
20	3	8	6	8	1089.7615
20	4	8	6	8	1085.2515
20	5	8	6	8	1080.8482
20	6	8	6	8	1076.5563
20	7	8	6	8	1072.3806
20	8	8	6	8	1068.3253
20	9	8	6	8	1064.3944
20	10	8	6	8	1060.5917
20	11	8	6	8	1056.9208
20	12	8	6	8	1053.3849
20	13	8	6	8	1049.9869
20	14	8	6	8	1046.7296
20	15	8	6	8	1043.6154
20	16	8	6	8	1040.6464
20	17	8	6	8	1037.8246
20	18	8	6	8	1035.1516
20	19	8	6	8	1032.6288
20	20	8	6	8	1030.2573
20	21	8	6	8	1028.038
20	22	8	6	8	1025.9715
20	23	8	6	8	1024.0583
20	24	8	6	8	1022.2985
20	25	8	6	8	1020.6922
20	26	8	6	8	1019.2389
20	27	8	6	8	1017.9383
20	28	8	6	8	1016.7896
20	29	8	6	8	1015.792
20	30	8	6	8	1014.9445
20	31	8	6	8	1014.2458
20	32	8	6	8	1013.6944
20	33	8	6	8	1013.2889
20	34	8	6	8	1013.0274
20	35	8	6	8	1012.9081
20	36	8	6	8	1012.929
20	37	8	6	8	1013.0878
20	38	8	6	8	1013.3823
20	39	8	6	8	1013.8101
20	40	8	6	8	1014.3687
20	41	8	6	8	1015.0553
20	42	8	6	8	1015.8673
20	43	8	6	8	1016.8017
20	44	8	6	8	1017.8557
20	45	8	6	8	1019.0263
20	46	8	6	8	1020.3103
20	47	8	6	8	1021.7046
20	48	8	6	8	1023.2059
20	49	8	6	8	1024.811
20	50	8	6	8	1026.5163
20	51	8	6	8	1028.3187
20	52	8	6	8	1030.2145
20	53	8	6	8	1032.2002
20	54	8	6	8	1034.2724
20	55	8	6	8	1036.4274
20	56	8	6	8	1038.6615
20	57	8	6	8	1040.9713
20	58	8	6	8	1043.3529
20	59	8	6	8	1045.8027
20	60	8	6	8	1048.3169
20	61	8	6	8	1050.892
20	62	8	6	8	1053.5241
20	63	8	6	8	1056.2095
20	64	8	6	8	1058.9446
20	65	8	6	8	1061.7255
20	66	8	6	8	1064.5486
20	67	8	6	8	1067.4103
20	68	8	6	8	1070.3067
20	69	8	6	8	1073.2344
20	70	8	6	8	1076.1896
20	71	8	6	8	1079.1688
20	72	8	6	8	1082.1684
20	73	8	6	8	1085.1849
20	74	8	6	8	1088.2149
20	75	8	6	8	1091.2549
20	76	8	6	8	1094.3015
20	77	8	6	8	1097.3515
20	78	8	6	8	1100.4016
20	79	8	6	8	1103.4486
20	80	8	6	8	1106.4894
20	81	8	6	8	1109.5209
20	82	8	6	8	1112.5403
20	83	8	6	8	1115.5445
20	84	8	6	8	1118.5309
20	85	8	6	8	1121.4966
20	86	8	6	8	1124.4391
20	87	8	6	8	1127.3559
20	88	8	6	8	1130.2445
20	89	8	6	8	1133.1026
20	90	8	6	8	1135.9279
20	91	8	6	8	1138.7183
20	92	8	6	8	1141.4719
20	93	8	6	8	1144.1866
20	94	8	6	8	1146.8607
20	95	8	6	8	1149.4925
20	96	8	6	8	1152.0805
20	97	8	6	8	1154.623
20	98	8	6	8	1157.1188
20	99	8	6	8	1159.5667
20	100	8	6	8	1161.9654
