DataSize	Numex	ExMem	ExCore	LevelPar	Predictions
20	1	8	6	8	685.7921
20	2	8	6	8	631.3223
20	3	8	6	8	582.6535
20	4	8	6	8	539.5187
20	5	8	6	8	501.6386
20	6	8	6	8	468.7238
20	7	8	6	8	440.4761
20	8	8	6	8	416.5904
20	9	8	6	8	396.7563
20	10	8	6	8	380.6603
20	11	8	6	8	367.987
20	12	8	6	8	358.4212
20	13	8	6	8	351.6494
20	14	8	6	8	347.3616
20	15	8	6	8	345.2528
20	16	8	6	8	345.0248
20	17	8	6	8	346.3874
20	18	8	6	8	349.0598
20	19	8	6	8	352.7724
20	20	8	6	8	357.2676
20	21	8	6	8	362.3013
20	22	8	6	8	367.6435
20	23	8	6	8	373.0798
20	24	8	6	8	378.4122
20	25	8	6	8	383.4593
20	26	8	6	8	388.0578
20	27	8	6	8	392.0623
20	28	8	6	8	395.346
20	29	8	6	8	397.8011
20	30	8	6	8	399.3387
20	31	8	6	8	399.8891
20	32	8	6	8	399.4016
20	33	8	6	8	397.8444
20	34	8	6	8	395.2044
20	35	8	6	8	391.4866
20	36	8	6	8	386.7137
20	37	8	6	8	380.9255
20	38	8	6	8	374.1784
20	39	8	6	8	366.5445
20	40	8	6	8	358.1104
20	41	8	6	8	348.9771
20	42	8	6	8	339.2581
20	43	8	6	8	329.079
20	44	8	6	8	318.5761
20	45	8	6	8	307.8952
20	46	8	6	8	297.1908
20	47	8	6	8	286.6243
20	48	8	6	8	276.3632
20	49	8	6	8	266.5797
20	50	8	6	8	257.4496
20	51	8	6	8	249.1506
20	52	8	6	8	241.8616
20	53	8	6	8	235.7611
20	54	8	6	8	231.0262
20	55	8	6	8	227.8312
20	56	8	6	8	226.3468
20	57	8	6	8	226.7385
20	58	8	6	8	229.1662
20	59	8	6	8	233.7826
20	60	8	6	8	240.7327
20	61	8	6	8	250.1527
20	62	8	6	8	262.1691
20	63	8	6	8	276.8984
20	64	8	6	8	294.4459
20	65	8	6	8	314.9057
20	66	8	6	8	338.3595
20	67	8	6	8	364.8769
20	68	8	6	8	394.5146
20	69	8	6	8	427.316
20	70	8	6	8	463.3116
20	71	8	6	8	502.5185
20	72	8	6	8	544.9401
20	73	8	6	8	590.567
20	74	8	6	8	639.3761
20	75	8	6	8	691.3315
20	76	8	6	8	746.3847
20	77	8	6	8	804.4744
20	78	8	6	8	865.5277
20	79	8	6	8	929.4597
20	80	8	6	8	996.1747
20	81	8	6	8	1065.5664
20	82	8	6	8	1137.5184
20	83	8	6	8	1211.9053
20	84	8	6	8	1288.5928
20	85	8	6	8	1367.4388
20	86	8	6	8	1448.2941
20	87	8	6	8	1531.0029
20	88	8	6	8	1615.4038
20	89	8	6	8	1701.3306
20	90	8	6	8	1788.613
20	91	8	6	8	1877.0772
20	92	8	6	8	1966.5472
20	93	8	6	8	2056.8451
20	94	8	6	8	2147.792
20	95	8	6	8	2239.209
20	96	8	6	8	2330.9177
20	97	8	6	8	2422.7408
20	98	8	6	8	2514.5033
20	99	8	6	8	2606.0325
20	100	8	6	8	2697.1593
