DataSize	Numex	ExMem	ExCore	LevelPar	Predictions
20	1	8	6	8	242.0083
20	2	8	6	8	203.9407
20	3	8	6	8	171.0585
20	4	8	6	8	142.9946
20	5	8	6	8	119.3784
20	6	8	6	8	99.8385
20	7	8	6	8	84.005
20	8	8	6	8	71.5116
20	9	8	6	8	61.998
20	10	8	6	8	55.1118
20	11	8	6	8	50.5111
20	12	8	6	8	47.8657
20	13	8	6	8	46.8598
20	14	8	6	8	47.1933
20	15	8	6	8	48.5832
20	16	8	6	8	50.766
20	17	8	6	8	53.4981
20	18	8	6	8	56.5576
20	19	8	6	8	59.7452
20	20	8	6	8	62.885
20	21	8	6	8	65.8255
20	22	8	6	8	68.44
20	23	8	6	8	70.6268
20	24	8	6	8	72.31
20	25	8	6	8	73.4389
20	26	8	6	8	73.9883
20	27	8	6	8	73.9583
20	28	8	6	8	73.3732
20	29	8	6	8	72.282
20	30	8	6	8	70.7564
20	31	8	6	8	68.8908
20	32	8	6	8	66.8009
20	33	8	6	8	64.6227
20	34	8	6	8	62.5107
20	35	8	6	8	60.6372
20	36	8	6	8	59.1902
20	37	8	6	8	58.372
20	38	8	6	8	58.3977
20	39	8	6	8	59.4929
20	40	8	6	8	61.8925
20	41	8	6	8	65.8383
20	42	8	6	8	71.5776
20	43	8	6	8	79.3606
20	44	8	6	8	89.4391
20	45	8	6	8	102.0644
20	46	8	6	8	117.4853
20	47	8	6	8	135.9459
20	48	8	6	8	157.6845
20	49	8	6	8	182.9313
20	50	8	6	8	211.9066
20	51	8	6	8	244.8195
20	52	8	6	8	281.8661
20	53	8	6	8	323.228
20	54	8	6	8	369.0711
20	55	8	6	8	419.544
20	56	8	6	8	474.7773
20	57	8	6	8	534.8821
20	58	8	6	8	599.9494
20	59	8	6	8	670.0493
20	60	8	6	8	745.2299
20	61	8	6	8	825.5175
20	62	8	6	8	910.9156
20	63	8	6	8	1001.4051
20	64	8	6	8	1096.9438
20	65	8	6	8	1197.4666
20	66	8	6	8	1302.8859
20	67	8	6	8	1413.0914
20	68	8	6	8	1527.9508
20	69	8	6	8	1647.3104
20	70	8	6	8	1770.9956
20	71	8	6	8	1898.8117
20	72	8	6	8	2030.5449
20	73	8	6	8	2165.963
20	74	8	6	8	2304.8166
20	75	8	6	8	2446.8405
20	76	8	6	8	2591.7544
20	77	8	6	8	2739.2647
20	78	8	6	8	2889.0656
20	79	8	6	8	3040.8403
20	80	8	6	8	3194.2628
20	81	8	6	8	3348.9994
20	82	8	6	8	3504.7098
20	83	8	6	8	3661.0489
20	84	8	6	8	3817.6682
20	85	8	6	8	3974.2175
20	86	8	6	8	4130.3462
20	87	8	6	8	4285.7047
20	88	8	6	8	4439.9464
20	89	8	6	8	4592.7283
20	90	8	6	8	4743.713
20	91	8	6	8	4892.5699
20	92	8	6	8	5038.9763
20	93	8	6	8	5182.6189
20	94	8	6	8	5323.1945
20	95	8	6	8	5460.4116
20	96	8	6	8	5593.9913
20	97	8	6	8	5723.6678
20	98	8	6	8	5849.1897
20	99	8	6	8	5970.3206
20	100	8	6	8	6086.84
