DataSize	Numex	ExMem	ExCore	LevelPar	Predictions
20	1	8	6	8	966.9738
20	2	8	6	8	976.9284
20	3	8	6	8	988.437
20	4	8	6	8	1001.4455
20	5	8	6	8	1015.8957
20	6	8	6	8	1031.7256
20	7	8	6	8	1048.8694
20	8	8	6	8	1067.258
20	9	8	6	8	1086.8188
20	10	8	6	8	1107.4764
20	11	8	6	8	1129.1525
20	12	8	6	8	1151.7663
20	13	8	6	8	1175.2348
20	14	8	6	8	1199.4728
20	15	8	6	8	1224.3936
20	16	8	6	8	1249.9089
20	17	8	6	8	1275.9293
20	18	8	6	8	1302.3645
20	19	8	6	8	1329.1235
20	20	8	6	8	1356.1151
20	21	8	6	8	1383.2481
20	22	8	6	8	1410.4315
20	23	8	6	8	1437.5748
20	24	8	6	8	1464.5884
20	25	8	6	8	1491.3838
20	26	8	6	8	1517.8739
20	27	8	6	8	1543.9732
20	28	8	6	8	1569.598
20	29	8	6	8	1594.6669
20	30	8	6	8	1619.101
20	31	8	6	8	1642.8236
20	32	8	6	8	1665.7613
20	33	8	6	8	1687.8436
20	34	8	6	8	1709.003
20	35	8	6	8	1729.1758
20	36	8	6	8	1748.3018
20	37	8	6	8	1766.3243
20	38	8	6	8	1783.1909
20	39	8	6	8	1798.853
20	40	8	6	8	1813.2661
20	41	8	6	8	1826.3901
20	42	8	6	8	1838.1891
20	43	8	6	8	1848.6317
20	44	8	6	8	1857.6909
20	45	8	6	8	1865.3442
20	46	8	6	8	1871.5734
20	47	8	6	8	1876.3651
20	48	8	6	8	1879.7102
20	49	8	6	8	1881.6041
20	50	8	6	8	1882.0467
20	51	8	6	8	1881.0422
20	52	8	6	8	1878.5991
20	53	8	6	8	1874.73
20	54	8	6	8	1869.4518
20	55	8	6	8	1862.7853
20	56	8	6	8	1854.7553
20	57	8	6	8	1845.3901
20	58	8	6	8	1834.7219
20	59	8	6	8	1822.7862
20	60	8	6	8	1809.6217
20	61	8	6	8	1795.2704
20	62	8	6	8	1779.7772
20	63	8	6	8	1763.1897
20	64	8	6	8	1745.558
20	65	8	6	8	1726.9346
20	66	8	6	8	1707.3743
20	67	8	6	8	1686.9337
20	68	8	6	8	1665.6712
20	69	8	6	8	1643.6467
20	70	8	6	8	1620.9215
20	71	8	6	8	1597.5578
20	72	8	6	8	1573.6189
20	73	8	6	8	1549.1688
20	74	8	6	8	1524.2718
20	75	8	6	8	1498.9927
20	76	8	6	8	1473.3961
20	77	8	6	8	1447.5467
20	78	8	6	8	1421.5087
20	79	8	6	8	1395.3459
20	80	8	6	8	1369.1214
20	81	8	6	8	1342.8973
20	82	8	6	8	1316.7348
20	83	8	6	8	1290.6938
20	84	8	6	8	1264.8328
20	85	8	6	8	1239.2089
20	86	8	6	8	1213.8776
20	87	8	6	8	1188.8924
20	88	8	6	8	1164.305
20	89	8	6	8	1140.1652
20	90	8	6	8	1116.5205
20	91	8	6	8	1093.4164
20	92	8	6	8	1070.896
20	93	8	6	8	
20	94	8	6	8	1027.7668
20	95	8	6	8	1007.2321
20	96	8	6	8	987.4294
20	97	8	6	8	968.3893
20	98	8	6	8	950.1401
20	99	8	6	8	932.7075
20	100	8	6	8	916.1143
