DataSize	Numex	ExMem	ExCore	LevelPar	Predictions
20	1	8	6	8	1028.5677
20	2	8	6	8	1013.6298
20	3	8	6	8	1000.9951
20	4	8	6	8	990.6132
20	5	8	6	8	982.4258
20	6	8	6	8	976.3673
20	7	8	6	8	972.3645
20	8	8	6	8	970.3377
20	9	8	6	8	970.2004
20	10	8	6	8	971.8604
20	11	8	6	8	975.2193
20	12	8	6	8	980.1741
20	13	8	6	8	986.6165
20	14	8	6	8	994.4344
20	15	8	6	8	1003.5116
20	16	8	6	8	1013.7289
20	17	8	6	8	1024.9644
20	18	8	6	8	1037.0938
20	19	8	6	8	1049.9914
20	20	8	6	8	1063.5305
20	21	8	6	8	1077.5836
20	22	8	6	8	1092.0234
20	23	8	6	8	1106.7232
20	24	8	6	8	1121.5572
20	25	8	6	8	1136.4014
20	26	8	6	8	1151.1339
20	27	8	6	8	1165.6353
20	28	8	6	8	1179.7895
20	29	8	6	8	1193.4838
20	30	8	6	8	1206.6096
20	31	8	6	8	1219.0626
20	32	8	6	8	1230.7435
20	33	8	6	8	1241.5581
20	34	8	6	8	1251.4177
20	35	8	6	8	1260.2395
20	36	8	6	8	1267.9468
20	37	8	6	8	1274.4691
20	38	8	6	8	1279.7429
20	39	8	6	8	1283.711
20	40	8	6	8	1286.3235
20	41	8	6	8	1287.5373
20	42	8	6	8	1287.3166
20	43	8	6	8	1285.6327
20	44	8	6	8	1282.464
20	45	8	6	8	1277.7965
20	46	8	6	8	1271.6229
20	47	8	6	8	1263.9431
20	48	8	6	8	1254.7641
20	49	8	6	8	1244.0997
20	50	8	6	8	1231.9702
20	51	8	6	8	1218.4026
20	52	8	6	8	1203.43
20	53	8	6	8	1187.0916
20	54	8	6	8	1169.4323
20	55	8	6	8	1150.5024
20	56	8	6	8	1130.3577
20	57	8	6	8	1109.0583
20	58	8	6	8	1086.6693
20	59	8	6	8	1063.2597
20	60	8	6	8	1038.9023
20	61	8	6	8	1013.6733
20	62	8	6	8	987.6521
20	63	8	6	8	960.9206
20	64	8	6	8	933.5629
20	65	8	6	8	905.6652
20	66	8	6	8	877.3149
20	67	8	6	8	848.6006
20	68	8	6	8	819.6117
20	69	8	6	8	790.4377
20	70	8	6	8	761.1683
20	71	8	6	8	731.8925
20	72	8	6	8	702.6988
20	73	8	6	8	673.6742
20	74	8	6	8	644.9047
20	75	8	6	8	616.4741
20	76	8	6	8	588.4645
20	77	8	6	8	560.9553
20	78	8	6	8	534.0236
20	79	8	6	8	507.7433
20	80	8	6	8	482.1854
20	81	8	6	8	457.4175
20	82	8	6	8	433.5037
20	83	8	6	8	410.5045
20	84	8	6	8	388.4765
20	85	8	6	8	367.4722
20	86	8	6	8	347.5402
20	87	8	6	8	328.7249
20	88	8	6	8	311.0663
20	89	8	6	8	294.6003
20	90	8	6	8	279.3584
20	91	8	6	8	265.3678
20	92	8	6	8	252.6513
20	93	8	6	8	241.2274
20	94	8	6	8	231.1103
20	95	8	6	8	222.3102
20	96	8	6	8	214.8329
20	97	8	6	8	208.6804
20	98	8	6	8	203.8504
20	99	8	6	8	200.3372
20	100	8	6	8	198.1311
