DataSize	Numex	ExMem	ExCore	LevelPar	Predictions
20	1	8	6	8	515.302
20	2	8	6	8	510.4449
20	3	8	6	8	507.0996
20	4	8	6	8	505.1761
20	5	8	6	8	504.5809
20	6	8	6	8	505.2169
20	7	8	6	8	506.9841
20	8	8	6	8	509.7803
20	9	8	6	8	513.5012
20	10	8	6	8	518.0413
20	11	8	6	8	523.2941
20	12	8	6	8	529.1529
20	13	8	6	8	535.5113
20	14	8	6	8	542.2633
20	15	8	6	8	549.3045
20	16	8	6	8	556.532
20	17	8	6	8	563.8449
20	18	8	6	8	571.1452
20	19	8	6	8	578.3379
20	20	8	6	8	585.3314
20	21	8	6	8	592.0381
20	22	8	6	8	598.3746
20	23	8	6	8	604.2622
20	24	8	6	8	609.6268
20	25	8	6	8	614.4
20	26	8	6	8	618.5184
20	27	8	6	8	621.9246
20	28	8	6	8	624.567
20	29	8	6	8	626.4
20	30	8	6	8	627.3843
20	31	8	6	8	627.4866
20	32	8	6	8	626.6802
20	33	8	6	8	624.9447
20	34	8	6	8	622.266
20	35	8	6	8	618.6363
20	36	8	6	8	614.0541
20	37	8	6	8	608.5239
20	38	8	6	8	602.0564
20	39	8	6	8	594.6681
20	40	8	6	8	586.381
20	41	8	6	8	577.2227
20	42	8	6	8	567.2259
20	43	8	6	8	556.4284
20	44	8	6	8	544.8725
20	45	8	6	8	532.6049
20	46	8	6	8	519.6764
20	47	8	6	8	506.1414
20	48	8	6	8	492.0577
20	49	8	6	8	477.4863
20	50	8	6	8	462.4904
20	51	8	6	8	447.1358
20	52	8	6	8	431.4902
20	53	8	6	8	415.6226
20	54	8	6	8	399.6032
20	55	8	6	8	383.5031
20	56	8	6	8	367.3935
20	57	8	6	8	351.3458
20	58	8	6	8	335.4311
20	59	8	6	8	319.7196
20	60	8	6	8	304.2806
20	61	8	6	8	289.1819
20	62	8	6	8	274.4898
20	63	8	6	8	260.2684
20	64	8	6	8	246.5796
20	65	8	6	8	233.483
20	66	8	6	8	221.035
20	67	8	6	8	209.2895
20	68	8	6	8	198.2967
20	69	8	6	8	188.1038
20	70	8	6	8	178.7543
20	71	8	6	8	170.2879
20	72	8	6	8	162.7407
20	73	8	6	8	156.1449
20	74	8	6	8	150.5284
20	75	8	6	8	145.9155
20	76	8	6	8	142.3262
20	77	8	6	8	139.7763
20	78	8	6	8	138.2779
20	79	8	6	8	137.8388
20	80	8	6	8	138.4628
20	81	8	6	8	140.1498
20	82	8	6	8	142.8961
20	83	8	6	8	146.6939
20	84	8	6	8	151.532
20	85	8	6	8	157.3956
20	86	8	6	8	164.2666
20	87	8	6	8	172.1237
20	88	8	6	8	180.9425
20	89	8	6	8	190.6959
20	90	8	6	8	201.3539
20	91	8	6	8	212.8841
20	92	8	6	8	225.252
20	93	8	6	8	238.4206
20	94	8	6	8	252.3514
20	95	8	6	8	267.0041
20	96	8	6	8	282.3368
20	97	8	6	8	298.3064
20	98	8	6	8	314.8689
20	99	8	6	8	331.9792
20	100	8	6	8	349.5916
